{'max_epoch': 15, 'last_iter': 0, 'finetune_lr': 0.0001, 'scratch_lr': 0.001, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

epochs:1, iter: 2, hinge1_f: 1.8621665, hinge2_f: 1.7111805, hinge3_f: 1.4399275, hinge1: 2.1598905, hinge2: 2.1566515, hinge3: 1.9147075, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 3, hinge1_f: 1.8781385, hinge2_f: 1.6610835, hinge3_f: 1.4718575, hinge1: 2.1064985, hinge2: 2.0538325, hinge3: 2.0214255, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 4, hinge1_f: 1.8755975, hinge2_f: 1.6751975, hinge3_f: 1.4473055, hinge1: 2.0692855, hinge2: 2.0965205, hinge3: 2.1257045, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 5, hinge1_f: 1.8766355, hinge2_f: 1.7061635, hinge3_f: 1.4429855, hinge1: 2.0899645, hinge2: 2.1312335, hinge3: 2.1259995, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 6, hinge1_f: 1.8970445, hinge2_f: 1.6858995, hinge3_f: 1.4411425, hinge1: 2.0517125, hinge2: 2.1109395, hinge3: 2.2030585, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 7, hinge1_f: 1.8992675, hinge2_f: 1.6757505, hinge3_f: 1.4367005, hinge1: 2.0515695, hinge2: 2.0947645, hinge3: 2.1922855, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 8, hinge1_f: 1.8890635, hinge2_f: 1.6573395, hinge3_f: 1.4361295, hinge1: 2.0695675, hinge2: 2.0632135, hinge3: 2.1627475, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 9, hinge1_f: 1.8989945, hinge2_f: 1.6622605, hinge3_f: 1.4472025, hinge1: 2.0502455, hinge2: 2.0792455, hinge3: 2.1903265, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 10, hinge1_f: 1.8953435, hinge2_f: 1.6674885, hinge3_f: 1.4458485, hinge1: 2.0623025, hinge2: 2.0841885, hinge3: 2.2193565, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 11, hinge1_f: 1.9007185, hinge2_f: 1.6694965, hinge3_f: 1.4459975, hinge1: 2.0532675, hinge2: 2.0959245, hinge3: 2.2062445, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 12, hinge1_f: 1.8976465, hinge2_f: 1.6634165, hinge3_f: 1.4467645, hinge1: 2.0562695, hinge2: 2.0802375, hinge3: 2.2090565, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 13, hinge1_f: 1.8955605, hinge2_f: 1.6609145, hinge3_f: 1.4479225, hinge1: 2.0520815, hinge2: 2.0756445, hinge3: 2.2203365, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 14, hinge1_f: 1.9018095, hinge2_f: 1.6574415, hinge3_f: 1.4519255, hinge1: 2.0511425, hinge2: 2.0685915, hinge3: 2.2204675, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 15, hinge1_f: 1.8983105, hinge2_f: 1.6596925, hinge3_f: 1.4530645, hinge1: 2.0562795, hinge2: 2.0748045, hinge3: 2.2186105, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 16, hinge1_f: 1.9023945, hinge2_f: 1.6663195, hinge3_f: 1.4475725, hinge1: 2.0528545, hinge2: 2.0724585, hinge3: 2.2094025, cla: 0.0000005, lr: 0.0000008
