{'max_epoch': 15, 'last_iter': 0, 'finetune_lr': 0.0001, 'scratch_lr': 0.001, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

epochs:1, iter: 29, hinge1_f: 2.0010795, hinge2_f: 1.8020135, hinge3_f: 1.5389315, hinge1: 1.9423985, hinge2: 2.0630265, hinge3: 1.9562235, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 30, hinge1_f: 1.9978345, hinge2_f: 1.7948365, hinge3_f: 1.5390685, hinge1: 1.9443235, hinge2: 2.0656035, hinge3: 1.9470375, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 31, hinge1_f: 2.0030285, hinge2_f: 1.8083895, hinge3_f: 1.5373425, hinge1: 1.9386855, hinge2: 2.0622035, hinge3: 1.9504785, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 32, hinge1_f: 2.0045585, hinge2_f: 1.7980495, hinge3_f: 1.5356385, hinge1: 1.9354405, hinge2: 2.0597375, hinge3: 1.9440695, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 33, hinge1_f: 2.0072925, hinge2_f: 1.7892615, hinge3_f: 1.5300765, hinge1: 1.9336545, hinge2: 2.0567695, hinge3: 1.9383075, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 34, hinge1_f: 2.0022765, hinge2_f: 1.7907705, hinge3_f: 1.5313895, hinge1: 1.9250535, hinge2: 2.0525735, hinge3: 1.9329045, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 35, hinge1_f: 2.0098515, hinge2_f: 1.8049425, hinge3_f: 1.5325275, hinge1: 1.9216635, hinge2: 2.0494565, hinge3: 1.9395085, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 36, hinge1_f: 2.0091485, hinge2_f: 1.8033925, hinge3_f: 1.5312465, hinge1: 1.9200055, hinge2: 2.0461675, hinge3: 1.9423075, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 37, hinge1_f: 2.0024915, hinge2_f: 1.8173575, hinge3_f: 1.5319495, hinge1: 1.9270545, hinge2: 2.0586325, hinge3: 1.9500795, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 38, hinge1_f: 1.9893085, hinge2_f: 1.8220525, hinge3_f: 1.5320695, hinge1: 1.9307075, hinge2: 2.0567685, hinge3: 1.9484595, cla: 0.0000005, lr: 0.0000008
